Eje X,Eje Y,Eje Z
8,-16,-12
1,-21,-11
0,-15,14
-18,0,15
-24,-2,0
-15,-16,-21
-25,-24,-31
-31,-32,-30
-24,-26,-32
-27,-20,-53
-16,-20,-77
-29,-23,-89
-41,-40,-102
-35,-20,-144
-13,23,-207
-47,14,-255
-53,-14,-258
-30,-70,-239
-30,-42,-245
11,44,-251
-29,28,-236
-52,-25,-180
-13,-21,-133
-26,-2,-127
16,29,-109
10,-4,-82
23,-19,-64
20,-39,-48
13,-27,-37
26,-22,-2
37,-34,42
44,-60,106
18,-44,128
15,-12,127
45,-6,148
43,-36,162
41,-21,207
27,-14,266
57,-37,332
68,-39,339
50,-25,324
-2,4,302
31,-43,377
99,-75,406
15,12,291
-45,49,279
30,13,307
46,-36,333
84,-80,330
-24,59,239
-30,29,243
23,-77,270
41,-185,324
1,-32,260
-5,40,243
44,26,247
57,-52,266
42,-132,305
29,-15,284
20,105,255
28,51,259
23,6,268
22,-84,300
51,-96,313
68,-15,307
87,7,292
101,9,283
89,8,294
84,19,285
84,73,273
74,85,261
56,31,265
49,-32,274
48,20,270
43,68,282
35,9,290
43,-8,274
63,12,241
74,39,254
65,66,279
46,37,283
50,3,260
50,1,252
54,3,274
66,17,313
90,82,257
71,16,194
35,-45,218
48,-3,235
78,67,188
75,44,152
51,-22,86
30,11,67
1,29,57
-34,13,16
-32,30,-45
-37,-22,-88
-32,-25,-106
-28,20,-121
-52,-5,-115
-63,-1,-138
-51,-38,-203
-37,-53,-270
-31,-34,-318
-57,-9,-340
-82,-32,-355
-83,-43,-354
-62,81,-348
-48,131,-347
-55,77,-331
-96,-47,-285
-94,-12,-247
-68,94,-238
-58,61,-245
-61,-24,-242
-42,18,-241
-24,38,-231
-7,38,-229
2,20,-232
18,-5,-251
28,12,-271
26,3,-271
0,8,-247
-1,-19,-236
24,18,-254
28,31,-256
-14,19,-233
-24,-10,-219
-12,31,-220
5,60,-233
12,48,-253
10,4,-240
-12,4,-225
-14,18,-222
28,51,-242
43,46,-246
15,4,-240
8,12,-245
15,11,-235
6,33,-245
2,22,-241
11,-1,-240
-10,-11,-240
-10,3,-241
0,5,-217
-8,-2,-200
-5,9,-215
-2,14,-225
-13,-24,-217
-38,-42,-202
2,13,-214
21,31,-216
2,4,-212
-9,-3,-216
21,1,-217
5,-2,-238
-16,-9,-244
-25,-3,-242
-3,0,-234
19,4,-240
0,-8,-275
23,-11,-291
5,-27,-286
7,-21,-275
29,-4,-240
30,-4,-198
30,15,-135
0,-4,-87
-3,-19,-20
3,-24,30
-10,-34,48
-4,-48,96
-22,-39,125
-10,-25,173
2,-13,192
-9,-1,196
-17,2,204
-26,6,217
-16,18,277
24,48,320
27,58,296
30,42,302
31,14,310
31,10,306
25,24,289
-31,37,257
-27,26,258
-8,-19,266
9,-24,252
-66,8,212
-56,8,216
-31,-3,215
3,-30,232
6,-23,229
-49,12,217
-27,-7,246
3,-28,260
-18,-10,228
-30,0,223
-40,-14,233
-11,-60,258
31,-36,234
-12,9,205
-16,-11,212
12,-67,215
30,-89,222
23,-10,203
-17,42,230
-25,-21,250
1,-109,274
14,38,221
-30,99,241
-17,54,240
-13,-27,243
-1,-52,235
-6,92,210
-23,60,217
-21,-13,201
-9,-48,189
7,53,177
1,63,190
-17,-7,203
-24,-72,231
0,-69,258
33,110,257
12,41,309
-7,-87,339
-8,-113,332
46,0,293
41,61,322
-5,-60,359
17,-122,335
90,25,281
63,-51,338
41,-114,355
70,-86,313
122,60,253
105,45,215
72,-30,142
54,-42,77
41,13,31
20,3,10
-5,-25,-29
-1,-39,-93
7,10,-139
-29,-2,-159
-54,-28,-186
-60,-12,-219
-74,0,-251
-76,8,-269
-75,-4,-303
-73,21,-323
-71,30,-331
-58,24,-333
-45,34,-322
-43,46,-303
-44,37,-295
-40,-7,-273
-10,10,-286
-2,18,-282
-23,27,-265
-51,-11,-238
-19,-20,-238
28,32,-248
17,26,-226
-3,-12,-219
-22,-32,-224
-22,-14,-218
-26,22,-231
-12,3,-267
-3,-35,-267
-21,-14,-243
-8,21,-228
22,39,-243
32,28,-253
23,-4,-251
-12,-16,-206
-17,12,-188
7,32,-198
31,24,-213
4,-7,-186
-39,0,-163
-25,20,-169
30,59,-236
54,31,-280
-7,-54,-224
-36,-38,-184
9,53,-207
73,85,-264
63,51,-275
-29,-75,-219
-80,-62,-176
-15,51,-188
36,85,-248
20,-2,-258
-22,-61,-225
-42,-20,-206
14,44,-238
10,-7,-248
-4,-64,-241
-55,-105,-253
-20,1,-290
33,67,-337
1,-33,-366
-50,-135,-331
-2,-74,-299
33,43,-279
37,68,-274
26,39,-264
-2,-56,-197
10,-57,-132
10,35,-104
48,51,-48
0,-33,2
15,-27,68
13,-23,104
26,3,172
17,45,197
1,55,246
11,63,296
14,63,294
-23,45,296
-31,44,298
-37,41,316
8,50,382
39,34,390
-24,21,333
-36,31,317
13,15,335
50,0,349
17,10,323
-42,31,287
-40,-20,295
0,-86,315
4,-81,309
-60,-10,293
-65,16,283
-17,1,261
-12,-90,292
-30,-111,292
-41,-3,237
-37,-3,246
-11,-77,269
-10,-133,312
-17,-113,313
-13,0,279
-5,29,267
27,-48,280
28,-125,279
23,-3,256
28,66,259
35,-28,269
34,-82,272
39,-63,251
34,72,240
14,53,279
10,-20,296
7,7,285
4,97,269
4,100,278
-10,20,288
-31,-37,288
-12,-11,275
28,35,285
12,-31,324
23,-13,330
47,2,333
65,49,350
74,25,362
54,18,326
49,34,319
36,3,281
66,55,193
62,68,161
52,51,85
32,-25,4
7,-25,-52
-9,38,-74
-48,16,-84
-56,-34,-110
-30,-42,-167
-5,-15,-212
-5,-8,-219
-26,0,-227
-35,-63,-243
-10,-93,-297
21,-25,-351
5,25,-354
-48,-29,-332
-57,-38,-320
-32,14,-316
-20,24,-325
-18,-4,-323
-38,-45,-308
-37,-12,-304
-26,56,-311
-14,18,-297
-18,-81,-286
-32,-76,-272
-33,-11,-276
-3,21,-284
31,11,-301
29,-14,-299
-13,-64,-292
-24,-38,-287
-20,0,-301
10,6,-310
11,-14,-310
-31,-51,-269
-12,-8,-255
42,75,-296
60,74,-307
54,10,-322
-9,-54,-304
-38,-47,-273
2,36,-301
51,52,-309
18,-45,-291
-52,-94,-254
-52,-77,-243
-17,-8,-239
11,34,-277
20,-24,-269
-5,-84,-205
-35,-81,-147
-6,32,-151
18,101,-218
0,17,-254
-7,-27,-250
-48,-55,-228
-64,-9,-235
-20,61,-274
-33,9,-304
-54,-73,-290
-15,-49,-261
16,17,-257
31,52,-240
1,28,-235
-33,-13,-203
-15,-20,-171
9,26,-173
31,61,-195
-3,13,-206
21,-15,-212
19,-28,-169
26,-22,-140
10,-9,-99
17,22,-53
24,-5,9
9,-9,86
15,6,149
-26,-33,170
-34,-41,179
-10,-17,215
-10,-8,237
-14,-1,264
-23,2,280
-37,9,302
-46,-1,326
-46,-5,334
-44,20,311
-26,41,309
22,11,369
75,10,363
-15,0,265
-44,-5,279
-40,-33,314
-16,-115,335
34,-96,285
-58,-37,229
-56,-3,262
1,-40,305
48,-74,356
-15,15,297
-58,48,270
-51,41,275
-7,-37,304
15,-121,361
-5,-60,333
-28,16,294
0,-14,298
26,-48,308
58,-83,331
34,20,274
23,86,239
20,20,250
4,-53,255
7,-29,230
4,19,219
-7,63,226
-22,23,253
-28,-8,273
-26,-4,300
-27,74,327
-19,167,352
-9,75,361
-14,27,362
-3,-23,356
4,27,372
19,107,408
47,126,384
74,21,327
72,-20,311
67,41,319
45,142,348
37,75,303
55,-10,197
86,6,102
83,48,46
44,2,6
25,-32,-21
18,-28,-78
15,31,-85
-41,-14,-74
-53,-29,-98
-30,-38,-163
-10,-24,-213
-18,8,-229
-35,-15,-227
-54,-78,-260
-25,-31,-315
3,29,-349
-13,24,-352
-47,-25,-337
-55,-72,-318
-38,-14,-314
-17,24,-314
-15,-18,-316
-33,-54,-292
-43,-41,-271
-29,11,-267
-19,28,-270
-5,11,-274
2,-21,-279
13,-11,-285
3,-15,-284
-8,8,-300
10,-27,-303
21,-32,-308
20,-18,-297
16,0,-299
24,33,-290
7,6,-258
-11,-36,-231
-7,-8,-245
9,12,-253
21,10,-256
19,-14,-244
0,-38,-234
1,-22,-233
24,15,-256
35,16,-282
37,-20,-290
27,-38,-293
-12,-56,-298
-13,-38,-296
11,-4,-304
23,0,-306
-12,-48,-284
-36,-84,-245
-27,-51,-229
-12,16,-238
-5,33,-223
-8,20,-207
-43,-24,-192
-59,-46,-192
-29,-13,-192
-19,11,-211
-22,-11,-215
-39,-37,-214
-9,9,-206
-8,26,-216
-4,17,-219
-32,-17,-233
-36,-18,-225
-8,12,-209
16,36,-202
35,44,-207
42,10,-180
17,-33,-158
-8,-15,-120
16,18,-69
17,9,-63
9,-3,-42
1,-5,-15
-21,-21,45
-18,-30,115
-33,-32,183
-24,-11,219
-15,-7,231
-26,-30,250
-32,-13,284
-15,47,284
2,51,295
1,25,299
-14,30,314
-18,41,323
5,36,329
31,7,325
-45,-17,294
-54,1,313
20,-44,389
66,-40,354
-71,-18,267
-90,0,275
-33,-11,299
21,-74,338
33,-31,284
-54,12,213
-33,7,238
9,-57,286
26,-105,328
32,-59,317
-7,83,236
1,115,255
14,5,312
1,-122,370
15,-75,315
21,-1,272
22,84,249
43,27,268
48,-64,278
48,-48,240
53,40,214
44,59,245
46,34,252
61,-38,290
36,-66,321
33,9,291
44,82,272
39,56,300
26,23,329
14,34,338
-14,100,349
-27,103,366
-21,34,366
0,73,343
-4,123,325
-24,46,318
-36,18,321
-23,-6,332
27,82,282
39,46,238
0,-46,225
-8,-35,254
22,53,227
37,72,193
28,19,127
31,0,58
23,51,20
-20,16,4
-31,-19,-41
-2,-20,-94
6,-10,-114
8,30,-153
-30,-2,-185
-51,-61,-234
-33,-91,-317
-1,-46,-400
27,-2,-483
-10,-37,-493
-65,-98,-471
-67,-91,-431
-33,-29,-415
-14,-12,-406
4,-22,-377
-4,-58,-340
-40,-50,-282
-38,-6,-239
-8,-5,-237
12,-16,-242
17,-1,-228
3,10,-213
1,24,-222
0,34,-248
7,-35,-273
14,-55,-295
14,-9,-308
14,10,-317
30,-23,-333
35,-40,-336
16,-39,-308
-35,-25,-269
-22,7,-274
28,14,-298
24,-21,-305
-23,-57,-269
-43,-41,-237
15,27,-257
53,53,-289
64,38,-336
0,-30,-305
-18,-41,-281
19,22,-295
49,72,-327
6,-6,-316
-27,-70,-259
-25,-71,-243
-17,-13,-256
3,55,-313
19,41,-362
-14,-53,-324
-19,-84,-263
-16,-35,-245
-40,5,-286
-14,27,-347
20,11,-360
17,-19,-305
11,-25,-276
21,27,-236
