Eje X,Eje Y,Eje Z
241,35,39
189,3,6
147,-33,-12
155,2,16
188,-26,3
201,-52,-1
207,-35,16
199,-4,12
197,-14,14
226,-6,28
230,5,14
210,11,14
209,2,5
227,13,17
255,31,35
275,13,25
281,3,14
291,26,13
310,-33,-2
322,-28,3
311,7,24
285,-23,7
291,-7,7
318,30,19
323,46,38
275,4,34
253,-26,20
231,-25,-4
206,59,16
124,107,43
-12,39,18
-147,16,-17
-218,-23,-48
-191,-28,-31
-182,-26,-14
-214,-18,7
-320,27,12
-451,6,-7
-488,-18,-28
-463,12,-16
-448,16,-9
-507,82,11
-584,91,10
-579,57,-17
-516,41,-45
-522,42,-40
-565,-26,-24
-601,-29,17
-593,-11,13
-501,-20,-28
-438,-5,-24
-420,-9,-21
-416,-47,-8
-430,-65,-17
-412,-39,-50
-327,-72,-55
-244,-51,-1
-268,-8,15
-311,46,-22
-348,63,-53
-348,35,-45
-333,7,-17
-337,-26,-1
-382,5,6
-443,26,-10
-472,10,10
-431,1,57
-395,15,70
-357,38,48
-425,32,5
-459,-31,-18
-412,-38,0
-357,25,7
-340,67,-13
-330,12,-32
-325,-11,-30
-345,-39,-19
-322,39,-10
-298,60,-14
-340,-32,-22
-362,-43,-15
-387,46,3
-430,78,9
-450,12,-15
-424,-60,-13
-364,-76,28
-310,-50,37
-192,-18,29
-79,-20,20
-2,-10,30
57,30,18
115,-24,-3
197,-52,-8
232,-16,-4
252,2,1
245,-26,3
265,25,-2
324,30,-17
414,-15,-24
437,-15,-23
420,-2,-20
393,-5,-18
427,-9,-9
432,74,-17
382,0,-29
332,-81,-48
352,-29,-39
376,-15,-25
377,-11,2
307,34,-5
239,21,-25
262,-8,-19
307,-15,-4
345,-15,-6
343,-11,-15
330,2,-15
342,0,-25
379,13,-16
368,41,-17
353,45,-30
379,41,-30
374,36,-19
311,11,0
234,-5,-12
218,21,3
272,40,13
321,16,19
277,-17,7
237,-20,9
210,-13,8
268,-5,34
333,-10,30
320,-43,-2
273,-37,-5
259,5,16
269,7,24
296,-1,30
331,4,23
316,10,-4
298,-3,4
304,-9,19
343,-25,5
349,1,1
292,33,5
230,0,10
208,-31,20
240,-28,16
235,5,14
188,-24,11
176,-34,6
198,-12,13
231,-4,8
270,-16,8
312,-39,-6
357,-7,-2
385,33,14
320,52,22
266,16,16
175,-36,-5
150,-27,-13
162,-29,-13
141,17,-2
58,9,1
-1,-27,-6
-7,-12,-5
-37,31,14
-140,69,26
-283,47,20
-389,36,-18
-463,40,-43
-466,-34,-33
-443,-56,-17
-412,-41,5
-401,20,0
-388,56,-23
-310,-25,-39
-254,-39,3
-263,13,35
-316,52,13
-313,39,-50
-292,33,-56
-270,11,-20
-304,6,27
-368,29,9
-424,29,-49
-436,-30,-47
-374,-101,0
-328,-109,-6
-337,-46,-19
-409,39,-28
-443,-9,-12
-369,-72,4
-304,-103,-22
-325,-65,-31
-374,-57,-34
-340,-46,-2
-273,-10,34
-256,19,24
-266,42,20
-291,40,18
-285,-10,18
-241,-34,14
-220,-15,15
-260,11,1
-332,-9,-2
-343,-22,1
-292,-2,30
-227,-8,29
-235,20,11
-310,-3,0
-365,-27,7
-309,31,29
-277,51,38
-274,34,40
-310,-9,29
-378,-10,15
-361,46,-6
-331,11,-2
-345,17,6
-351,27,11
-368,60,6
-370,60,-12
-334,2,-24
-299,-28,-12
-303,24,2
-327,88,5
-321,5,-12
-291,-39,-16
-211,-37,-3
-125,7,10
-72,31,10
-64,-27,3
-22,-46,9
75,-46,14
160,-3,24
179,22,23
181,6,6
177,-37,-14
227,-51,-10
321,-61,13
370,39,28
368,8,28
350,-52,22
337,-70,21
362,12,13
407,9,0
416,-58,-13
396,-81,-32
365,-29,-38
349,-9,-38
343,-1,-20
331,-6,3
298,14,0
272,8,-19
267,-25,-25
288,-46,-6
298,-39,2
344,4,-5
311,50,-14
246,-9,-18
261,-57,-2
347,7,5
348,66,-10
327,51,-13
273,-38,-13
282,-44,7
329,13,5
307,74,2
232,13,-9
211,-46,10
230,-38,17
305,-12,19
302,6,0
241,-32,-24
245,-40,-17
310,17,-2
333,46,-1
319,49,3
243,9,-14
211,-32,-15
231,3,5
275,27,-5
245,45,-5
178,5,-1
167,-18,2
178,-31,4
228,-30,4
276,-35,-2
284,1,-10
255,-1,8
239,16,44
238,6,18
251,-31,14
266,-14,20
276,-16,18
271,-11,0
242,18,-1
215,0,-20
237,-24,-26
247,-30,-23
222,-42,-3
186,-57,6
206,-39,-3
246,19,-3
301,28,24
332,-16,31
327,-31,33
286,16,40
202,121,41
96,57,2
21,-6,-15
-37,-5,-5
-89,-17,-12
-128,-14,-10
-232,-13,-17
-322,-18,-27
-348,-25,-34
-309,-30,-38
-298,-2,-17
-329,-2,-16
-416,28,-29
-457,72,0
-432,108,15
-408,88,19
-344,12,3
-353,-56,-48
-386,-47,-98
-363,20,-40
-307,78,7
-283,19,13
-284,-50,-19
-332,-17,-40
-347,51,-30
-313,57,-27
-250,18,-1
-214,-61,-17
-241,-46,-31
-304,-3,-33
-291,8,0
-239,-3,32
-211,-33,25
-226,-27,4
-281,-11,-43
-287,-17,-29
-243,-40,17
-215,-5,27
-257,-6,1
-272,8,-14
-267,-5,-7
-252,-21,14
-232,-15,18
-222,6,14
-264,16,8
-304,7,0
-280,-1,10
-241,-23,15
-248,-6,14
-253,3,3
-259,9,-15
-272,3,-25
-284,2,-16
-291,19,-15
-284,26,-11
-270,8,-13
-258,-8,-13
-235,-41,-7
-235,-10,-15
-267,35,-24
-291,-7,-34
-289,-48,-22
-271,-21,8
-295,31,20
-309,54,21
-320,39,8
-316,-17,-4
-283,-56,-7
-271,-22,-2
-267,17,-13
-266,17,-6
-284,18,-3
-310,0,1
-295,-16,7
-258,-37,7
-186,-34,5
-115,-37,5
-42,-13,7
-4,7,11
53,36,9
103,-1,0
148,-51,-5
190,-2,-6
200,26,2
213,-11,6
252,-41,14
267,-18,21
282,34,22
287,17,-6
289,-6,-35
295,-56,-31
332,-115,-14
365,-40,11
366,18,25
331,85,13
251,2,-15
258,-109,-22
361,-126,6
370,7,17
305,43,-9
247,-24,-42
248,-59,-50
310,-43,-16
354,54,25
313,73,9
238,22,-20
234,-12,-24
278,3,-23
291,8,-15
298,0,-12
292,-4,-16
284,-17,-34
270,-12,0
253,12,-1
267,15,-16
280,3,-23
303,-30,-30
307,-37,-22
279,-19,-25
262,11,-23
258,42,-6
287,9,-15
308,-12,-21
344,-43,-20
309,-11,-14
233,23,-12
232,29,-20
277,37,-7
292,18,6
282,-10,-10
243,-24,-7
218,15,0
273,37,-4
354,34,3
376,34,13
343,33,11
343,51,-1
355,63,-3
383,77,6
394,4,15
347,-44,17
286,-31,2
279,-2,-6
290,-25,-22
290,-20,-16
303,-28,3
300,-24,2
294,-25,10
264,-9,17
233,-14,14
199,-5,22
179,9,33
126,21,35
33,64,26
-86,105,13
-173,36,-31
-185,-17,-28
-207,21,3
-245,25,-3
-335,22,-5
-410,71,-13
-368,5,-30
-299,-1,-5
-302,22,20
-366,77,10
-393,39,-29
-375,14,-41
-316,33,-10
-292,21,14
-318,26,12
-342,64,-13
-332,73,-50
-334,53,1
-338,37,21
-345,-53,-23
-323,-28,-58
-310,43,-54
-351,22,-39
-339,-67,-44
-315,-47,-40
-303,5,-11
-290,8,15
-283,-16,3
-294,-56,-29
-299,-34,-11
-288,32,53
-307,19,61
-313,-32,0
-296,-46,-36
-320,-27,-2
-389,19,34
-421,44,26
-370,65,15
-292,63,13
-289,3,24
-312,-20,44
-346,-30,10
-313,10,-8
-303,20,26
-308,21,51
-331,17,90
-326,81,61
-355,75,13
-346,-28,8
-290,-41,28
-302,36,34
-337,72,42
-419,81,22
-394,69,-7
-364,47,-3
-395,-4,-8
-383,-6,-14
-346,53,-24
-335,55,-34
-264,-9,-52
-189,-31,-37
-176,24,-8
-141,7,-2
-61,-6,-11
23,8,-16
103,-5,-14
130,-32,-12
178,-3,-3
198,4,0
228,-17,8
272,-47,13
323,-30,11
401,-71,7
427,-91,9
403,-57,7
417,-50,-5
411,-29,-6
364,-5,-28
350,-65,-26
325,-46,-41
322,-40,-52
323,-28,-53
288,-9,-50
270,-45,-34
300,-60,0
353,18,13
336,51,-21
290,21,-41
232,-59,-91
322,-68,-66
452,20,-12
453,80,-22
321,46,-63
251,-48,-70
265,-58,-51
359,-9,-3
368,36,6
274,22,-29
234,-7,-57
274,-24,-42
318,-28,3
330,-16,12
274,24,-6
176,23,-21
176,9,-8
252,-46,-4
313,-60,-3
278,-13,0
258,3,-9
241,9,-6
267,15,22
291,11,25
255,35,35
201,24,20
199,18,7
216,18,4
251,11,24
260,-23,32
249,-27,12
241,-5,-7
256,25,3
283,-3,10
294,-31,9
314,-56,12
320,-23,8
274,64,24
203,34,24
212,-26,16
248,-46,15
260,-36,17
234,7,29
173,5,21
133,-24,9
145,-19,15
154,2,24
106,53,44
57,58,31
-77,18,8
-168,-3,-33
-176,36,-23
-200,32,0
-309,1,4
-421,-1,-38
-459,44,-50
-442,68,-22
-383,16,-26
-348,-19,-16
-395,-7,-15
-497,67,-15
-518,78,3
-432,-10,-31
-380,-29,-55
-339,5,-44
-352,26,-20
-424,32,0
-405,-21,-29
-334,-28,-43
-264,17,4
-266,18,50
-334,-2,43
-391,-19,-55
-354,14,-75
-334,19,-52
-326,38,30
-398,3,45
-441,-11,-26
-397,-10,-42
-384,-43,-1
-373,-82,27
-335,-26,-2
-329,10,-25
-348,19,-14
-343,-24,21
-307,-27,28
-275,-10,10
-282,16,-3
-308,1,-7
-314,-15,-9
-299,-29,12
-284,10,31
-322,28,19
-327,31,-1
-292,-4,2
-274,-27,23
-283,-28,25
-301,29,8
-346,70,-25
-381,-19,-49
-353,-100,-40
-307,-65,-27
-283,22,-22
-284,22,-25
-289,-13,-22
-279,-43,-10
-220,-41,-18
-185,-30,-25
-146,-14,-29
-121,-19,-18
-81,-7,0
-9,9,0
84,-35,-13
162,-25,-5
206,15,2
244,37,-4
269,26,-11
342,-25,-13
416,-30,4
426,38,8
392,73,-13
354,-22,-42
378,-131,-47
466,-117,-25
472,81,-16
441,116,-20
338,18,-32
277,-79,-42
321,-50,-24
340,9,9
267,-27,16
166,-20,12
151,-1,8
202,31,7
259,26,10
256,-21,-8
252,-41,-38
294,-15,-47
381,8,-26
398,33,-20
362,21,-44
309,-36,-58
338,-44,-50
418,-8,-46
420,-3,-33
335,-13,-36
307,-21,-48
330,-13,-58
384,-7,-38
386,-8,-31
343,-11,-19
332,-20,-7
383,-20,-13
410,0,-4
407,32,34
354,-5,23
326,0,11
329,74,38
313,68,52
282,11,22
267,2,12
238,42,19
238,23,14
266,-9,21
262,-1,35
253,-5,25
271,-2,8
290,4,11
323,1,27
327,14,47
296,-23,67
276,-31,37
261,0,31
245,16,32
168,10,29
125,6,25
56,-8,0
31,17,1
-11,13,0
-83,13,-3
-161,40,-2
-237,15,-8
-264,-3,-15
-291,-16,-17
-341,34,-5
-443,82,-18
-484,24,-35
-437,-11,-18
-391,7,7
-342,4,7
-361,16,14
-444,26,-9
-496,40,-35
-440,22,-44
-417,52,-18
-430,54,13
-507,63,22
-550,71,-3
-514,-30,-59
-343,-95,-73
-298,-47,-26
-351,-29,21
-431,13,51
-423,24,27
-375,27,-21
-309,-10,-7
-286,-11,18
-324,-27,39
-330,-20,30
-308,32,12
-268,32,-19
-213,-18,-14
-214,-65,3
-265,-53,14
-283,-17,24
-318,68,48
-334,79,26
-339,20,-12
-340,-41,-48
-320,-48,-58
-318,-7,-42
-329,19,-11
-332,30,1
-315,72,3
-323,55,-16
-327,4,-24
-321,-14,-17
-353,-9,10
-392,40,25
-386,91,17
-369,92,17
-363,78,6
-374,77,-8
-419,19,-31
-407,-18,-39
-350,-49,-37
-304,-106,-23
-227,-94,-6
-135,14,14
-95,42,16
-7,-14,4
71,-28,0
115,14,5
156,-39,6
229,-54,16
277,15,39
301,23,46
337,-15,37
372,7,29
414,25,30
470,-43,25
468,-86,14
446,-43,0
415,0,-13
380,17,-45
402,-40,-34
422,-115,-16
402,-42,-20
388,14,-39
375,5,-29
394,-36,-16
416,-40,-21
444,-17,-35
382,0,-41
327,-48,-45
353,-23,-24
388,20,15
381,36,35
361,29,23
316,-15,-25
298,-46,-52
