Eje X,Eje Y,Eje Z
-31,-136,-22
-5,-141,-22
-22,-199,-41
-7,-142,-11
6,-82,0
14,-107,-2
8,-185,-13
-6,-218,-23
-18,-326,-48
-36,-333,-75
-29,-301,-50
-18,-414,-40
-13,-504,-40
0,-545,-34
0,-643,-30
-21,-695,-38
-24,-592,-30
23,-298,-21
52,-102,-12
12,-153,-9
-7,-304,-14
5,-413,-27
16,-382,-26
3,-219,-16
-8,-178,-13
-23,-253,-10
-14,-371,-26
15,-370,-23
5,-348,-17
-31,-365,-7
-6,-351,10
35,-256,-1
43,-205,-9
26,-218,-14
-27,-325,-17
-17,-538,-16
16,-576,-21
28,-369,-41
8,-187,-17
-17,-310,11
-13,-526,-16
-4,-532,-36
0,-472,-33
-12,-341,-15
-28,-357,-6
-39,-459,-29
-25,-502,-37
2,-438,-30
-2,-383,-37
-20,-413,-30
-18,-424,-34
-5,-483,-47
1,-479,-55
8,-482,-57
10,-566,-53
26,-657,-74
39,-708,-94
31,-743,-89
19,-723,-61
27,-718,-56
38,-743,-76
35,-791,-80
35,-644,-41
8,-505,-26
-30,-485,-5
-35,-510,10
-26,-507,7
-10,-481,-25
-33,-462,-9
-45,-514,-11
-15,-621,-11
3,-522,-88
33,-553,-85
47,-707,-100
58,-598,-109
32,-454,-84
1,-346,-53
2,-330,-39
21,-341,-20
19,-431,-27
2,-381,-46
0,-177,-28
7,-178,-5
-3,-207,-21
-8,-192,-23
-3,-130,-1
-3,-59,9
-13,39,9
-9,106,18
-12,182,14
-29,171,17
-39,183,19
-59,288,35
-56,430,42
-40,676,49
-15,832,67
-40,693,73
-58,644,41
-48,660,43
-1,536,64
-4,407,38
-17,328,0
0,255,-13
23,249,-10
6,309,-17
0,294,-16
1,285,-26
4,420,-38
-4,577,-2
-13,690,38
-8,784,33
-38,940,44
-47,956,55
-40,807,43
-19,635,8
22,559,22
48,494,8
20,366,-8
12,275,-15
18,288,-21
37,409,-16
16,525,0
-17,566,-11
-24,567,-12
15,524,-9
12,499,-4
7,485,-4
5,489,-2
-2,454,10
-7,438,12
-5,457,18
-9,470,26
-10,486,24
-8,480,27
-8,519,31
-18,513,29
-37,505,29
-40,467,22
-29,490,22
-31,479,23
-54,462,10
-54,478,8
-39,524,12
-46,535,21
-44,516,10
-43,499,10
-53,396,4
-75,397,-11
-76,495,-12
-53,626,14
-38,501,12
-34,373,-8
